               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 159,            0.036621,            0.029884,                   0,             0.87074,             0.63025,             0.73745,             0.46811,            0.037741,            0.029886,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.036633,             0.03046,                   0,             0.87086,             0.63041,             0.73743,              0.4683,            0.037736,            0.029883,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,            0.036434,             0.02988,                   0,             0.87098,             0.62991,             0.73771,             0.46832,            0.037731,            0.029881,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.036512,            0.030025,                   0,                0.87,             0.63008,              0.7377,              0.4684,            0.037724,            0.029881,                   0,           0.0049828,           0.0049828,           0.0049828
                 163,            0.036468,            0.030044,                   0,             0.87101,             0.63016,             0.73806,             0.46842,            0.037718,            0.029878,                   0,            0.004936,            0.004936,            0.004936
                 164,            0.036661,            0.030347,                   0,             0.86825,             0.63157,              0.7379,             0.46851,            0.037714,            0.029882,                   0,           0.0048893,           0.0048893,           0.0048893
                 165,            0.036509,            0.029963,                   0,             0.86567,             0.63241,             0.73805,             0.46882,            0.037709,            0.029879,                   0,           0.0048426,           0.0048426,           0.0048426
                 166,            0.036357,            0.029639,                   0,              0.8641,             0.63343,             0.73804,              0.4688,            0.037702,            0.029877,                   0,            0.004796,            0.004796,            0.004796
                 167,            0.036224,            0.029725,                   0,             0.86914,             0.63099,             0.73822,             0.46885,            0.037697,            0.029877,                   0,           0.0047495,           0.0047495,           0.0047495
                 168,            0.036289,            0.029833,                   0,             0.86194,             0.63482,              0.7381,              0.4689,            0.037691,            0.029881,                   0,           0.0047031,           0.0047031,           0.0047031
                 169,             0.03631,            0.029707,                   0,             0.86149,             0.63515,             0.73813,             0.46902,            0.037685,            0.029875,                   0,           0.0046568,           0.0046568,           0.0046568
                 170,            0.036349,            0.029867,                   0,             0.86047,              0.6354,              0.7381,             0.46906,            0.037678,            0.029879,                   0,           0.0046105,           0.0046105,           0.0046105
                 171,            0.036171,            0.029326,                   0,             0.87453,             0.62842,             0.73794,             0.46914,            0.037673,            0.029878,                   0,           0.0045644,           0.0045644,           0.0045644
                 172,            0.036308,            0.029751,                   0,             0.87368,             0.62875,             0.73814,             0.46918,            0.037666,            0.029874,                   0,           0.0045184,           0.0045184,           0.0045184
                 173,            0.036074,            0.029712,                   0,             0.87423,             0.62858,             0.73801,             0.46906,             0.03766,            0.029877,                   0,           0.0044724,           0.0044724,           0.0044724
                 174,            0.036313,            0.029679,                   0,             0.87964,             0.62584,             0.73785,             0.46914,            0.037654,            0.029872,                   0,           0.0044266,           0.0044266,           0.0044266
                 175,            0.036302,            0.029778,                   0,             0.87225,              0.6295,             0.73782,             0.46955,            0.037647,            0.029871,                   0,           0.0043809,           0.0043809,           0.0043809
                 176,            0.035904,            0.029571,                   0,             0.86905,             0.63141,             0.73806,             0.46948,             0.03764,            0.029878,                   0,           0.0043353,           0.0043353,           0.0043353
                 177,            0.036123,            0.029475,                   0,             0.87299,             0.62997,              0.7377,             0.46957,            0.037634,            0.029874,                   0,           0.0042899,           0.0042899,           0.0042899
                 178,            0.035903,            0.029259,                   0,              0.8736,             0.62997,             0.73813,             0.46987,            0.037628,            0.029876,                   0,           0.0042445,           0.0042445,           0.0042445
                 179,            0.036007,            0.029612,                   0,             0.87405,                0.63,             0.73834,             0.47002,            0.037624,            0.029872,                   0,           0.0041994,           0.0041994,           0.0041994
                 180,            0.035906,            0.029467,                   0,             0.87261,             0.63049,             0.73847,             0.47011,            0.037617,            0.029864,                   0,           0.0041543,           0.0041543,           0.0041543
                 181,            0.035804,             0.02932,                   0,             0.86936,             0.63224,             0.73866,             0.47019,            0.037613,            0.029878,                   0,           0.0041094,           0.0041094,           0.0041094
                 182,              0.0359,            0.029402,                   0,             0.86993,             0.63185,             0.73868,             0.47038,            0.037609,            0.029877,                   0,           0.0040647,           0.0040647,           0.0040647
                 183,            0.036054,            0.029277,                   0,             0.87004,             0.63157,             0.73903,             0.47057,            0.037601,            0.029882,                   0,           0.0040201,           0.0040201,           0.0040201
                 184,            0.035762,            0.028955,                   0,             0.86641,             0.63373,             0.73892,             0.47073,            0.037595,            0.029879,                   0,           0.0039757,           0.0039757,           0.0039757
                 185,            0.035589,            0.029276,                   0,             0.86852,             0.63288,             0.73915,             0.47087,            0.037588,            0.029875,                   0,           0.0039314,           0.0039314,           0.0039314
                 186,            0.035877,            0.029671,                   0,             0.86709,             0.63315,             0.73873,             0.47071,            0.037582,            0.029881,                   0,           0.0038873,           0.0038873,           0.0038873
                 187,            0.035818,            0.029687,                   0,             0.87255,             0.63033,             0.73898,             0.47076,            0.037575,            0.029885,                   0,           0.0038434,           0.0038434,           0.0038434
                 188,             0.03565,             0.02939,                   0,             0.87179,             0.63091,             0.73929,             0.47092,             0.03757,            0.029883,                   0,           0.0037997,           0.0037997,           0.0037997
                 189,            0.035706,            0.029231,                   0,             0.86562,              0.6344,             0.73969,             0.47125,            0.037564,            0.029889,                   0,           0.0037562,           0.0037562,           0.0037562
