               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042501,            0.034093,                   0,             0.85523,             0.58903,             0.69388,              0.4178,            0.041435,            0.031834,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.042283,             0.03402,                   0,              0.8337,             0.60277,             0.69489,              0.4202,            0.041253,            0.031938,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.042181,            0.034088,                   0,             0.85308,             0.59827,             0.69759,             0.42245,            0.041117,            0.031719,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.042112,            0.034023,                   0,             0.84868,             0.60233,             0.69971,             0.42246,            0.041145,            0.031633,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.042028,            0.034026,                   0,             0.85522,             0.59925,             0.70024,             0.42487,            0.040908,            0.031447,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.041866,            0.034369,                   0,              0.8434,             0.60594,             0.70305,             0.42655,            0.040831,            0.031585,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.041735,            0.034118,                   0,             0.85041,             0.60399,             0.70278,             0.42766,            0.040782,            0.031535,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.041701,            0.033824,                   0,             0.86467,             0.59751,              0.7033,             0.42794,            0.040663,            0.031484,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.041584,            0.033393,                   0,             0.84828,             0.60764,             0.70186,              0.4277,            0.040573,            0.031469,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.041388,            0.033863,                   0,             0.83177,             0.61271,             0.70483,             0.43071,            0.040484,            0.031311,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.041558,            0.033959,                   0,             0.83773,             0.61479,             0.70879,             0.43237,            0.040406,            0.031241,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.041244,            0.033626,                   0,             0.86996,             0.59776,              0.7069,             0.43176,            0.040338,            0.031293,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.041408,            0.033777,                   0,             0.86351,             0.60224,             0.70807,             0.43457,            0.040205,            0.031201,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.041227,             0.03362,                   0,             0.85137,             0.61271,             0.70873,             0.43438,            0.040201,            0.031134,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.041191,            0.033647,                   0,             0.83841,             0.61648,              0.7088,             0.43597,            0.040092,            0.031141,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.040917,             0.03365,                   0,              0.8508,             0.61121,             0.70885,             0.43658,            0.040094,            0.031095,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.041033,            0.033312,                   0,             0.88103,             0.59562,             0.71311,              0.4374,            0.040045,            0.031078,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.04082,            0.033365,                   0,             0.84557,             0.61784,             0.71411,             0.43849,            0.040015,            0.031056,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.040877,            0.033055,                   0,             0.84261,             0.61879,             0.71505,             0.43874,            0.039913,            0.030927,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.040882,            0.033194,                   0,              0.8605,             0.60892,             0.71415,             0.43923,            0.039839,               0.031,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.040737,            0.033238,                   0,                0.85,              0.6177,             0.71535,             0.44104,            0.039794,            0.030941,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.040641,            0.033344,                   0,             0.83981,             0.62268,             0.71475,             0.44005,            0.039788,            0.030982,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.040459,            0.032913,                   0,               0.844,             0.62327,             0.71589,             0.44276,            0.039673,            0.030937,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.040557,            0.032725,                   0,             0.84721,             0.62526,             0.71839,             0.44427,            0.039589,            0.030903,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.040441,            0.032964,                   0,             0.84378,             0.62518,             0.71813,             0.44423,            0.039577,            0.030889,                   0,           0.0091127,           0.0091127,           0.0091127
